Lattice3x10092.csv,
6,5,1,0,
0,1513,3026,4539,6052,7565,9078,10591,12104,13617,15130,16643,18156,19669,21182,22695,24208,25721,27234,28747,30260,
30276.0,24916.105,22618.2575,21535.95,20877.06,20245.2325,19580.7025,18912.9975,18020.4625,17010.505,15981.6975,15088.485,14696.125,14606.4175,15135.0925,16466.6125,17611.7275,18923.495,18951.2475,16484.2375,0.0,
30276,24954,22723,21393,20985,19778,19780,17889,17409,17170,16222,16563,14738,14909,16993,18933,18203,22394,16749,13770,0,
30276,24916,22637,21637,21392,19972,19656,18484,17990,17711,16425,16426,14374,13476,14972,17403,15673,13003,20080,30272,0,
30276,24962,22575,21524,20654,19917,19626,20023,17192,16878,15706,16400,12652,13868,15532,20639,13580,23761,18940,0,0,
30276,24907,22597,21845,20994,19826,19236,19635,19813,16508,16635,17495,14035,14376,15433,19719,20184,21899,19199,30,0,
30276,24868,22823,21293,20698,19553,19857,19046,18552,17130,16153,15445,12653,16827,18258,15568,17020,23243,27703,3446,0,
30276,24838,22643,21505,20743,20388,19434,19244,18920,16818,14595,16106,15969,16791,13890,14434,15956,17619,18742,30272,0,
30276,24978,22751,21698,21131,20101,19261,19372,17672,17188,16414,16678,14001,15844,15134,13631,18184,6358,28760,9124,0,
30276,25015,22718,21393,20587,20188,19813,18815,17086,17834,16169,13986,16029,13863,12823,15622,19162,19922,13724,30272,0,
30276,24850,22448,21070,20608,19909,19059,17821,18801,17615,15984,17392,16013,16903,15123,16460,19213,17167,19232,30272,0,
30276,24813,22958,21907,20843,20159,19735,18744,17574,16284,15056,15383,15023,14223,15548,16004,13670,19309,16649,15,0,
30276,25056,22744,21503,20808,19823,20104,18200,18921,16359,15524,14364,14982,14697,13531,17516,22710,15429,9114,20,0,
30276,24860,22327,21551,21125,20287,19854,18171,18539,18848,17337,15711,17047,14798,13318,13708,14600,21437,24273,8008,0,
30276,24878,22308,21630,20661,19948,19648,18648,17708,16913,15679,15849,17126,14484,14165,16091,15355,16826,13591,30272,0,
30276,24990,22773,21059,20651,20533,19062,18984,17347,17679,16022,15218,13300,16904,17270,15646,19190,19248,26852,17025,0,
30276,24952,22485,21641,21034,20626,19306,19544,19516,16594,16977,15456,15337,14932,15341,14783,16437,16684,25152,10,0,
30276,24970,22692,21474,21189,20739,19390,18785,17688,16481,15789,15821,16139,15226,14679,15094,17411,22883,19428,20,0,
30276,24909,22615,21234,21008,20913,20249,18420,18113,17232,16958,14374,14103,14013,14696,16356,16370,18974,23010,20,0,
30276,24955,22595,21554,20740,19864,19841,17550,16585,17183,14271,14502,11722,14830,17585,16375,19979,23125,24691,30,0,
30276,24828,22520,21273,20871,20005,19226,19309,17633,17604,17140,13308,14973,16008,11842,14398,17368,20653,18438,24903,0,
30276,25000,22661,21776,20873,20071,20173,19246,18735,16900,15892,14916,14879,13853,14468,13470,18967,18309,17409,11635,0,
30276,25001,22549,21819,20862,20476,19530,18606,18890,15954,16137,14627,15917,14323,15735,20504,19598,18113,27402,29923,0,
30276,24964,22615,21383,20615,20021,19622,19075,19171,17134,16662,14992,14566,16042,14094,18037,20244,19793,15054,10,0,
30276,24999,22403,21288,21003,20290,19057,18764,17857,16454,16608,13341,13942,15016,13748,14661,17377,20738,26250,28600,0,
30276,24949,22786,21513,21099,20511,19926,18147,18044,16077,14779,15120,12933,14594,10762,16332,11878,19971,16362,10277,0,
30276,24755,22699,21725,21300,19700,19771,18906,18083,17386,16096,16588,13419,15576,12083,14700,18933,17728,21700,25810,0,
30276,24921,22709,21374,21411,19913,18988,19326,17611,15787,15889,13691,12836,14387,12577,14350,16766,21164,21262,30269,0,
30276,24956,22720,21456,20970,20325,19805,18782,18721,17290,14912,13066,14642,14394,16920,18748,19620,16902,22483,14244,0,
30276,24939,22594,21300,20800,20549,19974,18550,18590,17197,15209,15245,16283,13395,13525,14398,15293,18461,11339,20851,0,
30276,24876,22467,21261,21036,19583,19561,18307,19249,16646,15466,16027,13466,14476,15208,19128,18230,20938,27433,13784,0,
30276,24913,22574,21444,20312,20108,19883,18995,17619,17597,15371,15285,14824,15199,14932,13875,17374,19440,25172,10576,0,
30276,24850,22840,21429,21179,20705,19408,18001,18826,18076,16004,14231,14393,13915,14852,18925,16926,16131,29725,5,0,
30276,25103,22505,21580,21155,20749,19304,18712,17856,17863,15452,15815,14242,14236,15966,17510,21903,22682,21187,10,0,
30276,24727,22677,21169,20919,20640,19416,19550,18290,17094,16669,14722,16538,14905,18242,19108,18047,20485,8353,4330,0,
30276,25049,22680,21214,20761,20145,19524,18737,18053,17955,16131,17878,13012,18502,12975,14215,18863,21552,17390,7905,0,
30276,24807,22664,21096,20604,20376,20175,20664,18006,16126,16793,15068,15863,16398,14333,13812,15944,23042,19175,29935,0,
30276,24887,22703,21814,21195,20862,19193,19182,16860,17560,16353,16949,15739,15494,15436,12176,17760,17913,15007,5,0,
30276,24875,22510,21660,21268,20416,20155,18347,17539,17285,16481,15306,16088,14592,14171,17364,21211,19915,27512,10090,0,
30276,24904,22719,21484,20721,20477,19517,20002,18149,18001,14619,14683,14066,14856,15511,18196,16292,21120,21230,30268,0,
30276,24835,22636,21694,20885,20383,20119,19072,18111,17367,16217,18217,15500,13810,12185,15032,14331,18799,14392,18014,0,
30276,24818,22686,21623,20948,20763,19593,19488,17600,17506,15116,17544,12999,12612,15267,15522,16350,22764,18580,23900,0,
30276,24930,22599,21704,20457,19675,19372,19322,17954,17746,15355,14561,15074,13981,13376,16403,16263,18235,13270,29348,0,
30276,24932,22549,21289,21170,20325,19554,18771,18304,17043,16211,15532,15111,16424,12454,12668,18141,19154,14982,30272,0,
30276,24736,22582,21967,20912,20244,19544,19493,18778,18368,18229,15562,16098,16645,12610,15065,20142,7432,17211,5233,0,
30276,24938,22617,21690,21278,20149,19313,18550,17699,15899,16911,14507,13468,16061,16045,17836,17363,13829,18727,30272,0,
30276,24956,22677,21624,20534,20539,19584,19604,18865,16484,16785,15160,13624,14303,16090,17314,18007,24655,26903,30272,0,
30276,24830,22573,21730,21252,20469,19795,18639,18355,17567,15042,16196,13850,13986,15243,14799,16556,14299,24672,15,0,
30276,24879,22732,21487,20642,20485,20126,19453,17397,17622,13796,16053,13691,13086,14860,18353,16469,17820,23144,13063,0,
30276,24858,22872,21393,20909,19645,19838,19043,18786,17238,16830,15409,12804,13659,15904,20801,17810,19360,15728,5,0,
30276,24827,22538,21676,20933,20686,19536,18636,16987,16382,16176,13980,15432,13470,16795,17182,17507,12953,12099,5,0,
30276,24876,22613,21605,20403,19577,19598,18308,18354,17611,17020,15343,15411,17803,13235,16343,21368,15294,23785,29385,0,
30276,24733,22603,21484,20895,20095,19259,19326,17470,17921,16566,14663,14618,13997,18153,15967,14228,20341,24408,20,0,
30276,25063,22650,21554,20933,20880,19019,18556,18265,17487,14512,14513,13770,16081,15413,15608,17542,21145,13593,22774,0,
30276,24883,22371,21440,20755,20207,19482,18534,18248,15350,16218,16535,15112,13292,13232,14887,16186,17727,18723,13080,0,
30276,25068,22639,21606,21122,19372,19342,18112,18975,16390,17721,17008,14277,16303,14700,14596,22081,17873,27800,30272,0,
30276,24930,22840,21359,20788,20533,19956,19843,17733,17332,15827,15670,15377,13713,14707,15886,13403,18701,21551,10,0,
30276,24692,22532,21753,20722,20024,19390,18797,17905,17316,16417,14684,15274,14314,16736,18888,18764,22661,20018,19095,0,
30276,24949,22607,21704,21076,20187,20410,19735,18658,17522,15102,15307,14862,14341,16534,17390,15665,14526,16963,30272,0,
