Lattice174x174.csv,
8,5,1,0,
0,1513,3026,4539,6052,7565,9078,10591,12104,13617,15130,16643,18156,19669,21182,22695,24208,25721,27234,28747,30260,
30276.0,4054.3,2174.06,1430.52,1013.45,736.75,579.46,460.37,362.8,284.55,225.92,165.95,125.73,84.87,53.99,30.14,13.4,4.7,0.72,0.05,0.0,
30276,4134,2131,1440,908,769,575,506,285,298,201,176,132,78,75,35,18,0,0,0,0,
30276,4018,2066,1544,966,667,560,351,401,317,281,183,134,40,49,28,5,5,5,0,0,
30276,3946,2297,1478,947,694,585,470,422,323,222,140,115,65,81,41,5,0,0,0,0,
30276,3872,2279,1255,1029,766,504,458,396,235,245,119,150,99,60,25,23,5,0,0,0,
30276,4370,2005,1358,964,732,536,527,390,283,211,203,145,94,63,46,0,5,0,0,0,
30276,3914,2466,1384,942,835,535,573,378,199,254,105,136,37,83,20,5,5,0,0,0,
30276,4258,2303,1288,925,793,656,410,381,250,160,129,117,71,71,20,15,0,0,0,0,
30276,3834,2201,1281,941,729,580,554,323,317,166,214,127,73,45,25,20,5,0,0,0,
30276,4142,2246,1383,970,712,669,442,311,344,255,184,120,81,82,15,15,5,0,0,0,
30276,4033,2168,1416,992,777,582,574,325,285,246,180,85,124,61,43,10,5,0,0,0,
30276,3996,2322,1320,907,746,548,439,439,256,205,150,127,78,38,30,17,0,0,0,0,
30276,3934,1951,1519,1107,747,521,416,404,281,215,230,180,99,17,24,5,0,0,0,0,
30276,4456,2428,1227,1020,699,555,400,358,206,243,115,170,40,28,20,10,5,0,0,0,
30276,4259,2191,1484,1058,782,604,400,396,278,185,141,124,35,56,5,8,10,5,0,0,
30276,3745,2315,1522,1044,764,585,446,296,260,195,213,130,47,50,5,19,0,0,0,0,
30276,3740,2193,1485,825,704,635,482,355,331,158,126,145,104,57,25,15,0,0,0,0,
30276,4197,2251,1475,1041,816,598,582,368,288,241,151,151,92,45,30,13,5,0,0,0,
30276,4140,2071,1467,874,701,506,444,373,269,241,165,108,119,69,33,10,0,0,0,0,
30276,4217,2306,1519,1025,755,577,488,397,369,201,155,86,68,57,15,5,0,0,0,0,
30276,3844,2135,1367,889,838,587,374,380,275,251,133,104,91,66,52,10,0,0,0,0,
30276,4162,2184,1336,983,618,665,431,261,233,229,191,89,68,61,59,5,5,0,0,0,
30276,4347,1981,1507,952,692,609,401,354,277,233,144,107,71,47,40,10,15,0,0,0,
30276,3913,2436,1604,1020,644,541,517,321,219,281,185,158,84,40,20,27,5,0,0,0,
30276,3496,2193,1466,1048,781,556,441,448,259,295,188,139,87,62,5,15,5,0,5,0,
30276,3857,2028,1411,1114,710,487,416,325,286,202,170,103,91,63,20,18,5,0,0,0,
30276,3912,2251,1197,1023,886,522,482,257,264,259,153,128,107,53,33,5,5,0,0,0,
30276,3948,2147,1307,988,740,549,444,324,254,206,153,149,77,67,29,17,0,0,0,0,
30276,4171,2017,1701,1298,738,518,442,336,275,223,166,127,47,50,18,5,0,8,0,0,
30276,3915,2248,1433,1025,712,558,491,489,288,254,164,126,91,30,25,10,0,0,0,0,
30276,3974,2249,1402,999,800,593,424,282,225,272,200,157,92,53,55,40,5,0,0,0,
30276,4214,2203,1330,1040,815,475,471,373,271,257,211,133,118,50,26,5,5,0,0,0,
30276,3723,2198,1344,1072,850,570,549,446,266,203,144,148,58,67,33,10,5,5,0,0,
30276,4138,1964,1603,1160,678,566,475,367,286,276,156,114,55,75,30,28,0,0,0,0,
30276,3935,2153,1457,946,853,493,400,468,273,146,138,108,71,65,35,20,10,0,0,0,
30276,3948,1947,1453,1063,757,606,422,406,297,219,159,107,82,78,27,20,5,0,0,0,
30276,4318,2339,1360,983,638,581,526,390,357,272,195,105,128,48,23,15,0,0,0,0,
30276,3879,1893,1396,935,578,632,428,332,278,178,189,150,67,55,15,5,20,10,0,0,
30276,3892,2088,1270,1091,706,698,488,390,349,233,141,151,95,40,27,5,0,0,0,0,
30276,3762,1913,1417,976,697,587,337,316,285,238,150,91,88,79,18,23,5,5,0,0,
30276,3883,2023,1268,968,724,522,518,366,249,231,181,148,107,47,35,18,0,0,0,0,
30276,3900,2114,1506,856,706,587,556,429,261,220,212,118,51,35,20,20,0,0,0,0,
30276,3965,2312,1669,922,776,658,428,293,241,250,186,140,106,53,33,5,0,5,0,0,
30276,4368,2012,1601,1076,815,596,468,337,390,296,208,135,99,48,25,28,5,0,0,0,
30276,3857,2319,1583,1291,825,596,439,349,272,237,124,158,101,45,45,20,0,0,0,0,
30276,4058,2304,1387,1118,719,647,494,377,373,175,139,96,93,29,24,5,10,0,0,0,
30276,3812,2085,1354,1017,607,664,355,359,205,248,156,161,81,58,10,15,10,0,0,0,
30276,3925,2000,1425,1054,716,657,387,333,290,211,151,94,94,41,12,30,0,0,0,0,
30276,4754,2174,1692,1067,668,621,434,362,419,214,180,140,52,60,20,17,0,0,0,0,
30276,4552,2405,1314,1045,769,479,382,333,302,253,175,101,39,47,30,10,5,0,0,0,
30276,4202,2301,1422,1065,597,503,472,287,333,291,162,137,88,45,68,0,15,0,0,0,
30276,3906,2205,1396,1069,785,592,493,305,359,240,150,179,73,61,15,15,10,0,0,0,
30276,4003,2094,1396,997,708,651,488,437,401,233,192,151,98,84,32,10,0,0,0,0,
30276,4534,2234,1434,891,636,576,477,458,315,216,156,136,61,61,22,25,15,0,0,0,
30276,3599,2165,1361,1070,678,490,474,380,301,188,170,85,124,45,44,15,10,0,0,0,
30276,4057,2312,1479,806,808,594,390,402,327,218,150,120,73,51,37,10,0,0,0,0,
30276,4000,2282,1297,919,605,543,475,487,198,203,209,198,40,53,25,24,5,0,0,0,
30276,4322,2177,1470,1084,704,590,478,395,344,262,184,119,73,88,40,5,0,0,0,0,
30276,4139,1990,1389,1154,698,563,481,401,289,184,160,91,102,60,33,23,0,0,0,0,
30276,4072,2215,1366,1142,701,581,529,299,303,207,194,157,74,35,15,10,15,0,0,0,
30276,3955,2104,1676,1082,777,603,572,289,209,178,199,155,80,38,30,0,15,0,0,0,
30276,4141,1993,1314,889,743,573,510,371,231,226,166,73,71,51,30,0,0,5,0,0,
30276,3927,2228,1533,840,691,654,432,351,212,259,123,109,77,69,57,25,5,0,0,0,
30276,4086,2172,1467,1035,755,576,403,373,287,259,179,97,63,51,44,0,17,0,0,0,
30276,4078,2172,1427,1060,756,564,460,341,312,242,178,142,130,47,55,15,0,0,0,0,
30276,4124,2194,1248,1012,676,452,323,336,243,149,166,101,72,69,35,15,0,5,0,0,
30276,4106,2090,1404,1027,687,614,440,404,286,215,158,97,83,63,17,5,5,0,0,0,
30276,4176,2215,1516,991,698,589,505,394,280,193,193,110,75,30,45,10,5,0,0,0,
30276,4168,2110,1535,1139,710,595,397,362,311,253,165,130,64,40,43,0,0,0,0,0,
30276,3981,1896,1579,1094,704,667,476,400,293,197,137,131,77,50,35,25,10,5,0,0,
30276,4204,2312,1264,856,849,640,448,331,302,201,198,127,81,68,45,0,5,0,0,0,
30276,3834,2187,1378,1071,744,498,405,391,238,211,136,125,83,49,40,10,0,0,0,0,
30276,4115,2103,1329,866,770,547,381,356,320,277,179,125,110,40,36,19,5,0,0,0,
30276,4126,2061,1451,878,858,567,520,384,228,239,163,109,150,71,25,10,5,0,0,0,
30276,4135,2276,1419,1161,799,536,495,385,232,316,103,143,120,45,20,41,13,0,0,0,
30276,4279,2357,1306,994,774,565,542,316,349,178,175,97,85,52,30,0,0,0,0,0,
30276,4230,2095,1445,1045,722,634,433,412,270,232,151,109,101,55,22,17,0,0,0,0,
30276,3964,2078,1391,1065,818,517,383,260,284,257,171,101,96,25,22,20,0,0,0,0,
30276,4222,2185,1345,1032,730,596,411,382,308,196,88,125,68,44,53,15,12,7,0,0,
30276,4323,2271,1377,986,738,453,418,376,285,291,284,131,106,50,30,32,15,0,0,0,
30276,4269,2082,1645,994,829,658,524,329,224,301,136,112,126,48,33,30,15,0,0,0,
30276,4381,2149,1710,1179,558,671,460,382,265,175,233,139,87,48,25,25,0,0,0,0,
30276,3978,2543,1468,1097,704,533,526,376,271,236,120,145,80,58,25,10,0,0,0,0,
30276,4147,2203,1517,1022,705,652,401,326,291,150,199,83,63,68,25,10,0,7,0,0,
