Lattice174x174.csv,,,,,,,,,,,,,,,,,,,,
7,6,4,0,,,,,,,,,,,,,,,,,
0,1513,3026,4539,6052,7565,9078,10591,12104,13617,15130,16643,18156,19669,21182,22695,24208,25721,27234,28747,30260
30276,3234.19,1844.07,1232.98,877,650.4,510.02,423.08,333.42,263.52,214.14,153.16,112.63,73.96,48.4,25.79,10.47,3.9,0.4,0,0
30276,3199,1683,1284,741,523,571,472,359,289,218,158,108,58,40,15,5,0,0,0,0
30276,3385,2044,1205,810,584,476,396,324,241,171,180,104,98,65,10,5,5,0,0,0
30276,3176,1916,1205,848,646,528,404,330,245,181,170,98,25,70,43,15,5,0,0,0
30276,3452,1795,1309,859,649,422,391,410,240,205,142,139,68,33,25,10,5,0,0,0
30276,3138,1661,1285,1029,727,556,404,355,207,188,167,91,119,81,10,0,5,0,0,0
30276,3142,2008,1211,728,713,550,374,383,208,195,162,93,89,63,28,5,5,0,0,0
30276,3450,1906,1181,1028,617,591,414,297,254,207,154,78,78,66,30,15,0,0,0,0
30276,3026,1645,1036,747,554,407,467,347,216,198,134,127,128,43,18,20,5,0,0,0
30276,3418,1757,1328,940,785,585,330,323,250,285,124,129,96,50,20,20,0,0,0,0
30276,3351,1857,1381,900,581,404,417,372,301,159,142,106,78,58,36,10,10,0,0,0
30276,3471,1636,1268,962,730,478,418,278,262,243,161,121,63,65,30,13,5,0,0,0
30276,3431,1865,1131,1028,685,573,392,334,271,239,130,172,74,15,28,20,0,0,0,0
30276,3084,1851,956,868,679,486,480,364,242,231,141,99,95,55,40,10,0,0,0,0
30276,2981,1767,1172,813,700,510,525,278,261,202,124,118,66,45,40,5,0,0,0,0
30276,3272,1831,1226,994,704,451,538,373,182,225,147,147,103,48,5,20,10,0,0,0
30276,3188,1798,1386,787,757,554,436,285,259,225,167,106,66,40,38,10,5,0,0,0
30276,3126,1823,1379,921,611,466,457,327,288,254,145,108,91,35,30,5,10,0,0,0
30276,3463,1847,1236,888,557,485,483,294,219,195,143,93,91,33,33,5,5,0,0,0
30276,3240,2148,1308,824,680,512,473,264,206,156,108,147,80,25,36,5,0,0,0,0
30276,3525,2047,1064,965,613,565,381,344,269,247,134,115,70,35,20,10,5,0,0,0
30276,3001,1837,1146,905,644,481,345,351,212,205,130,101,98,35,10,15,0,0,0,0
30276,3086,1791,1372,847,653,609,483,252,314,259,119,131,53,58,35,20,0,0,0,0
30276,3401,1946,1150,943,584,471,393,314,292,213,135,86,77,40,40,5,0,0,0,0
30276,3183,1867,1214,879,639,502,470,320,233,185,202,108,58,25,15,5,5,0,0,0
30276,3581,1955,1262,854,634,442,392,376,281,250,169,116,80,83,20,15,10,0,0,0
30276,3320,1784,1219,912,698,425,437,359,274,205,163,85,58,46,25,0,0,0,0,0
30276,3396,1607,1209,822,515,586,356,385,296,179,150,118,55,48,25,10,10,0,0,0
30276,2849,1970,1219,841,640,492,423,356,289,196,196,131,35,35,5,10,5,0,0,0
30276,3389,1776,1189,822,726,532,482,278,234,189,124,141,60,20,36,0,10,0,0,0
30276,3188,1843,1316,772,565,469,400,368,282,288,170,88,45,50,5,10,0,0,0,0
30276,3332,1881,1025,864,590,481,409,401,193,199,182,96,55,33,10,0,5,0,0,0
30276,2912,2009,1290,790,709,536,450,348,250,177,157,85,60,71,35,15,0,0,0,0
30276,3034,1879,1229,1035,666,392,366,298,259,176,173,104,76,25,10,0,5,0,0,0
30276,3228,1746,1266,866,626,472,505,328,211,268,199,114,90,20,15,10,0,0,0,0
30276,3122,1959,1293,979,776,430,471,381,193,160,171,116,73,38,35,5,10,0,0,0
30276,3294,1773,1260,873,722,573,458,311,289,220,88,83,73,30,48,10,0,5,0,0
30276,3140,1794,1238,898,664,550,536,331,248,278,128,93,58,50,30,10,0,0,0,0
30276,3471,1834,1086,859,687,549,314,260,250,254,171,88,58,70,15,15,10,0,0,0
30276,3267,1939,1248,795,702,572,422,389,334,207,202,132,95,54,20,10,5,0,0,0
30276,3263,2035,1307,834,602,569,339,289,292,216,213,126,90,78,20,10,5,0,0,0
30276,3260,2025,1170,977,668,438,389,339,267,167,193,126,80,76,23,10,15,0,0,0
30276,3235,1891,1161,759,492,447,552,347,320,213,178,103,93,63,20,0,15,0,0,0
30276,3202,1911,1279,785,692,452,439,348,296,205,146,60,103,58,28,20,5,0,0,0
30276,3574,1864,1307,876,611,509,519,298,276,209,194,83,70,40,15,5,5,5,0,0
30276,3337,2005,1306,904,636,557,436,282,287,261,136,131,85,50,20,15,0,0,0,0
30276,3240,1815,1443,799,703,514,398,254,221,227,179,163,101,45,25,0,0,0,0,0
30276,3099,1664,1168,910,747,523,352,333,224,170,146,136,55,45,25,10,5,0,0,0
30276,3562,1826,1329,865,709,426,432,382,258,180,147,102,78,58,30,20,0,0,0,0
30276,3098,1835,1126,1073,679,577,421,337,221,241,151,113,116,45,10,10,5,0,0,0
30276,3127,1836,1198,963,563,502,341,285,236,244,111,124,74,45,46,20,15,5,0,0
30276,2980,1888,1421,839,707,505,425,340,275,236,188,129,125,43,20,15,5,0,0,0
30276,3237,2068,1322,820,658,485,395,274,255,258,140,118,70,45,15,10,5,0,0,0
30276,3272,1873,1195,906,613,416,411,309,321,237,154,68,55,85,25,20,0,0,0,0
30276,3170,2022,1211,927,718,566,344,300,369,170,175,109,90,51,10,10,5,5,0,0
30276,3184,1914,1226,933,544,493,385,268,280,264,176,134,58,48,20,10,5,0,0,0
30276,3173,1707,1220,808,564,461,367,342,277,215,157,157,48,30,38,15,0,5,0,0
30276,3442,1857,1117,837,600,575,469,381,202,196,137,104,65,35,33,10,0,0,0,0
30276,3245,1980,1213,920,670,454,501,332,319,156,182,80,89,30,15,23,0,0,0,0
30276,3477,1916,1318,898,740,528,402,380,320,199,154,142,75,45,5,5,5,0,0,0
