Lattice3x20172.csv,
10,5,1,0,
0,3026,6052,9078,12104,15130,18156,21182,24208,27234,30260,33286,36312,39338,42364,45390,48416,51442,54468,57494,
60516.0,26.71,62.99,880.39,572.4,882.44,1281.23,1677.77,2173.0,2900.73,2993.73,5940.6,4394.97,8887.19,9360.6,4723.84,4844.37,1211.06,0.15,0.0,
60516,8,22,41,98,97,56,93,88,78,73,29,62,58,23287,0,7,0,0,0,
60516,53,50,117,94,92,48,87,77,40,762,91,38,40910,60516,7,60516,0,0,0,
60516,0,60,92,14,82,75,43,56,30,68,26,43,37,20583,8,60516,0,0,0,
60516,0,39,142,119,57,70,69,65,68,55,56,106,23,7,8,0,0,0,0,
60516,56,71,92,107,50,55,34,43,28677,41,57087,23,30,49988,0,0,0,0,0,
60516,37,58,92,63,76,54,69,40,52,61,31,38,35,30,15,0,0,0,0,
60516,35,32,88,135,41,73,23,58,56,17501,63,52,7122,5219,32,0,0,0,0,
60516,17,69,63,24,57,76,70,77,136,110,66,54,14,31,1204,0,0,0,0,
60516,11,22,90,111,65,79,59,66,62,60516,3838,40,30,21,24,8,0,0,0,
60516,32,96,103,91,31,51,17,56,60,87,60516,1561,53,29,8,7,0,0,0,
60516,0,81,139,120,52,36,53,39,93,49530,10828,52,45,7,7,10,0,0,0,
60516,28,0,130,70,61,58,73,66,65,72,7955,61,22,14,21,7,0,0,0,
60516,14,32,73,57,66,67,82,33,21670,95,119,58,414,16,7,0,0,0,0,
60516,53,70,8962,103,85,51203,113,59,92,51,98,46,42572,14,29,8,0,0,0,
60516,68,27,30,2661,48,95,8961,70,64,64,60516,29,35,0,32287,0,0,0,0,
60516,0,69,71,122,49,91,15,74,83,61,17479,60,44,22,7,8,0,0,0,
60516,41,32,69,94,92,70,41,32,10258,13650,90,56,46,16,0,0,0,0,0,
60516,52,45,52,73,49,72,10799,41,71,37,58,11438,71,60516,14,0,0,0,0,
60516,26,22,46,88,111,48,1415,73,71,92,60516,22,45,29,14936,0,0,0,0,
60516,64,19,85,39329,66,56,59,31,53,50,48,60516,4151,23,0,0,0,0,0,
60516,0,65,82,27,87,34,85,50,69,68,61,52,36,22549,22,0,0,0,0,
60516,17,47,107,31,90,52,57,55691,60513,31,44,54,7,11,37,0,8,0,0,
60516,0,96,111,118,69,100,51,62,46,32,94,47,26361,36,0,0,0,8,0,
60516,99,37,121,115,5283,65,54,62,41,30,1532,22,21,38,7,8,0,0,0,
60516,17,82,74,119,77,15568,14263,34,58,48,46,60516,75,8,16,0,0,0,0,
60516,17,71,123,72,45,85,33,50,39,64,79,44,12102,41614,8,0,0,0,0,
60516,35,61,86,28,110,55,67,26,72,65,64,33,56,60516,7,7,0,0,0,
60516,0,8,59,110,26,56,33257,60,48,57,71,38,37,30,8,0,0,0,0,
60516,0,71,84,60,88,1271,78,7512,52,10214,81,45,0,15,8,60516,0,0,0,
60516,22,97,137,53,108,53,30,68,45,87,29,60516,60516,22,23,0,0,0,0,
60516,94,24,96,77,61,43,269,40,40,67,74,53,7,15,0,0,0,0,0,
60516,0,126,43,89,74,40,46,57,55,61,29826,30,7825,13269,8,0,0,0,0,
60516,61,71,78,93,99,82,34,29,54,76,77,39,30,14,0,15,0,0,0,
60516,124,179,219,109,39418,63,29,63,66,28474,1053,38,22,13214,0,0,0,0,0,
60516,0,24,57,38,100,112,81,56,49,23,95,97,67,7,60516,60516,0,0,0,
60516,8,25,130,2570,152,60,66,83,15385,57,54,26,15,8,7,60516,0,0,0,
60516,0,145,78,81,74,37,34,61,55,30,45,1851,60516,22,0,7,0,0,0,
60516,8,96,180,113,282,92,40,68,47,90,50,22,15,14,8,0,15,0,0,
