Lattice3x20172.csv,
10,5,1,0,
0,3026,6052,9078,12104,15130,18156,21182,24208,27234,30260,33286,36312,39338,42364,45390,48416,51442,54468,57494,
60516.0,23.4325,222.3575,350.0875,749.9775,1465.4,673.4875,1823.43,2410.27,4089.925,4463.7325,6245.775,7978.785,7669.99,8799.195,7608.99,4098.4925,2421.3175,302.675,0.0,
60516,34,42,41,54,78,40,76,58,50,29,37,489,44,4078,60516,8,0,0,0,
60516,20,16,96,73,59,65,43,92,31892,1457,47,54,22,14,14,8,0,0,0,
60516,57,31,75,92,47,54,61,57,50,52,44,36758,54,21,21,0,0,0,0,
60516,47,82,186,106,58,65,26,12602,37,73,75,62,15,31981,0,0,0,0,0,
60516,11,89,106,70,99,51,59,31,63,80,48,29,45512,15,60516,0,0,0,0,
60516,0,128,192,61,55,61,42,46,102,16873,15,8,39,8,7,0,7,0,0,
60516,58,107,188,40,71,66,45,60516,54,22245,52,11555,6400,0,7,7,0,0,0,
60516,38,0,103,140,65,92,51,61,51,48,60,32912,58562,29,7,7,0,0,0,
60516,101,102,163,55,40,37,47,53,70,8053,59636,71,21,1132,22,7,0,0,0,
60516,0,34,49,120,82,37,59,54,41,1861,27,53,22,240,0,7,0,0,0,
60516,8,16,22,129,52,111,63,29,37,74,50,30,22,8457,15,0,0,0,0,
60516,53,20,106,147,70,71,432,46,87,35,79,52,16,28,0,0,0,0,0,
60516,20,102,158,30,92,43,20,87,52,53,66,68,39,14,7,34195,0,0,0,
60516,54,57,75,99,92,67,30,42,50,54,41,70,42043,0,7,0,0,0,0,
60516,38,71,133,102,157,59,63,80,8774,62,43,60516,31,14,8,16,0,0,0,
60516,58,77,113,90,40,57,42,62,89,45,59,87,39,4101,21,0,8,8,0,
60516,67,44,132,124,63,67,59,53,57,119,1995,56,30,7,14,0,8,0,0,
60516,93,76,58,78,62,62,62,66,66,79,50,6182,61,8,14,0,0,0,0,
60516,0,41,82,176,75,48,70,42,52,44,2472,34,0,29,31,0,0,0,0,
60516,91,19,161,65,44,38,37,26,74,84,68,60516,28,8,8,15,0,0,0,
60516,49,73,104,35,61,59,23,51,71,60516,31498,38,0,15,15,7,7,0,0,
60516,8,54,58,88,66,59,3752,80,59,53,69,50222,71,21,22,0,0,0,0,
60516,17,110,105,16,54,94,38,47,46,67,29,43,23,24,30,15,0,0,0,
60516,87,60,138,83,91,40,50,108,88,69,53758,60,31,23,15,0,0,0,0,
60516,0,79,22,93,93,35,52,47,87,48,54,52,20760,23,54566,60516,0,0,0,
60516,0,82,80,93,51,44,51,55,51,72,71,54,22,16683,60516,0,0,0,0,
60516,14,135,22,29,42,65,23,34,53,9578,62,29,53,23,36,0,0,0,0,
60516,8,74,84,109,115,102,58,90,71,4395,24542,30,39652,32113,0,0,7,0,0,
60516,52,103,60,75,30,60516,47,53,30,59,38,19388,10,7,14,0,0,0,0,
60516,0,28,104,129,105,74,46,2515,46,46,101,47303,24,30,0,8,0,0,0,
60516,56,30,139,135,112,43,43,31,58,58,49,43203,63,14,0,0,0,0,0,
60516,11,61,93,97,108,57,60516,56,52,62,72,13151,8,31,0,0,0,0,0,
60516,20,64,153,64,166,57,73,59,66,30,14952,65,37,28,14,0,0,0,0,
60516,8,81,107,92,100,87,36,4639,49,34,12963,60516,29,21100,7,0,0,0,0,
60516,0,79,55,80,64,55,44,70,74,52,22,68,67,14,60516,0,0,0,0,
60516,0,18,79,115,62,48,18,39,71,63,61,47,28595,30,14,7,0,0,0,
60516,50,76,103,78,91,79,58,33,29,54,33,15,57,15,0,0,0,0,0,
60516,8,96,145,122,86,49,78,46,35,79,27485,37,31,24,0,0,0,0,0,
60516,28,57,92,66,9157,54,34,82,64,61,96,14,35,32,7,60516,0,0,0,
60516,11,66,145,93,72,82,30,56,49,22,45,43,52,0,22,0,0,0,0,
60516,46,35,52,99,54,59,40,68,73,45,44,38,51,29,7,7,0,0,0,
60516,52,42,116,107,27,81,32,62,20271,38,9345,40,15,46,22,7,60516,0,0,
60516,25,59,125,44,73,22,75,37,55,65,68,4268,50815,2245,7,0,0,0,0,
60516,31,143,126,54,124,56,51,65,102,3200,52,15,38,15,0,0,0,0,0,
60516,17,96,48,147,97,89,22,68,65,28866,60513,838,43477,29,13795,0,8,0,0,
60516,0,103,112,106,56,89,52,45,69,60516,60516,48,30,15404,0,0,0,0,0,
60516,0,42,52,103,65,34,35,36,57,7093,68,41,36,10880,24,0,0,0,0,
60516,0,8,94,36,36,26,63,79,53,84,14503,93,32,15,0,0,0,0,0,
60516,44,78,60,74,22,66,62,14,63,71,17783,62,36,14,28,0,60516,0,0,
60516,48,144,106,111,89,75,16,86,69,16,62,46,69,30,14,0,60516,0,0,
60516,0,87,119,54,90,62,53,53,72,91,40,37,32,16,7,60516,60516,0,0,
60516,0,50,64,139,75,55,21,69,53,84,60516,62,60516,21,7,0,0,0,0,
60516,41,11,150,60516,46,72,90,70,75,78,9554,71,60516,17,23,0,0,0,0,
60516,0,94,92,71,86,65,56,75,36,32,37,29,22,26,16,0,0,0,0,
60516,72,61,18,52,18281,61,34,67,69,848,14,50,30,8,15230,47731,0,0,0,
60516,23,59,123,121,56,67,56,57,58,53,23,18,60504,7,0,0,0,0,0,
60516,32,26,130,117,99,5468,62,21,58,40,74,48,69,60516,15,7,0,0,0,
60516,0,106,135,43,40,67,65,57,64,4810,50,15,643,7,6417,60516,0,0,0,
60516,0,164,112,87,41,50,32,70,43,55,44,71,40,60516,60516,8,0,0,0,
60516,14,74,43,49,113,89,49,73,54,58883,98,23,32,8,0,7,0,0,0,
60516,0,34,85,68,114,60,60,5833,41,38,64,6863,43,8744,0,0,0,0,0,
60516,0,48,82,121,91,64,4398,50,79,86,54,36,47,21,43,0,0,0,0,
60516,20,143,107,155,65,57,74,49,90,61,40,51288,52,7,14,0,0,0,0,
60516,26,28,83,142,26,57,51,51,6534,68,29485,46,38,15,8,0,8,0,0,
60516,11,33,106,47,79,61,39,76,7,83,51,28,39614,43,0,0,8,0,0,
60516,32,120,133,21459,85,52,54,68,90,57,430,90,22,8,8,7,0,0,0,
60516,0,147,89,125,91,35,40,59,16861,7681,9457,48,31,4114,7,0,0,0,0,
60516,63,112,94,111,141,56,40,38,50,22,60,63,58,25,7,0,0,0,0,
60516,10,58,71,70,78,70,41,49,67,64,118,71,46,60516,60516,8,0,0,0,
60516,0,54,110,93,64,77,19,66,98,55,33,58,29,15208,53246,7,0,0,0,
60516,58,99,116,115,124,43,85,31,60516,72,48,23,47,15,7,0,7,0,0,
