Payoff Type,T,R,P,S,
4T > 4R > 3T+P > 3R+S > 2T+2P > 2R+2S > T+3P > R+3S > 4P > 4S,6.0,5.0,1.0,0.0,
4T > 4R > 3T+P > 3R+S > 2T+2P > 2R+2S > T+3P > 4P > R+3S > 4S,12.0,11.0,3.0,0.0,
4T > 4R > 3T+P > 3R+S > 2T+2P > T+3P > 2R+2S > R+3S > 4P > 4S,-1.0,-1.0,-1.0,-1.0,
4T > 4R > 3T+P > 3R+S > 2T+2P > T+3P > 2R+2S > 4P > R+3S > 4S,10.0,9.0,3.0,0.0,
4T > 4R > 3T+P > 3R+S > 2T+2P > T+3P > 4P > 2R+2S > R+3S > 4S,-1.0,-1.0,-1.0,-1.0,
4T > 4R > 3T+P > 2T+2P > 3R+S > 2R+2S > T+3P > R+3S > 4P > 4S,-1.0,-1.0,-1.0,-1.0,
4T > 4R > 3T+P > 2T+2P > 3R+S > 2R+2S > T+3P > 4P > R+3S > 4S,-1.0,-1.0,-1.0,-1.0,
4T > 4R > 3T+P > 2T+2P > 3R+S > T+3P > 2R+2S > R+3S > 4P > 4S,-1.0,-1.0,-1.0,-1.0,
4T > 4R > 3T+P > 2T+2P > 3R+S > T+3P > 2R+2S > 4P > R+3S > 4S,8.0,7.0,3.0,0.0,
4T > 4R > 3T+P > 2T+2P > 3R+S > T+3P > 4P > 2R+2S > R+3S > 4S,10.0,9.0,5.0,0.0,
4T > 4R > 3T+P > 2T+2P > T+3P > 3R+S > 2R+2S > R+3S > 4P > 4S,-1.0,-1.0,-1.0,-1.0,
4T > 4R > 3T+P > 2T+2P > T+3P > 3R+S > 2R+2S > 4P > R+3S > 4S,-1.0,-1.0,-1.0,-1.0,
4T > 4R > 3T+P > 2T+2P > T+3P > 3R+S > 4P > 2R+2S > R+3S > 4S,13.0,12.0,8.0,0.0,
4T > 4R > 3T+P > 2T+2P > T+3P > 4P > 3R+S > 2R+2S > R+3S > 4S,18.0,17.0,13.0,0.0,
4T > 3T+P > 4R > 3R+S > 2T+2P > 2R+2S > T+3P > R+3S > 4P > 4S,12.0,9.0,1.0,0.0,
4T > 3T+P > 4R > 3R+S > 2T+2P > 2R+2S > T+3P > 4P > R+3S > 4S,-1.0,-1.0,-1.0,-1.0,
